station_id,name,address,rental_uris,lat,lon,capacity
1097,Gladstone Terrace,"Gladstone Terrace, Edinburgh, EH9 1LU","{'android': 'edinburghcyclehire://stations/1097', 'ios': 'edinburghcyclehire://stations/1097'}",55.93796327344498,-3.185021145932069,14
1096,West Crosscauseway,"West Crosscauseway, Edinburgh, EH8 9AT","{'android': 'edinburghcyclehire://stations/1096', 'ios': 'edinburghcyclehire://stations/1096'}",55.9438359841253,-3.1849514084976818,31
1093,Belford Road,"75 Belford Rd, Edinburgh EH4 3DR","{'android': 'edinburghcyclehire://stations/1093', 'ios': 'edinburghcyclehire://stations/1093'}",55.95197357717703,-3.226124804664096,19
1092,Dalry Road Lidl,"Dalry Rd, Edinburgh EH11 2EF","{'android': 'edinburghcyclehire://stations/1092', 'ios': 'edinburghcyclehire://stations/1092'}",55.94179129688128,-3.2224153095964994,17
1091,Holyrood Road,"Holyrood Rd, Edinburgh EH8 8AQ","{'android': 'edinburghcyclehire://stations/1091', 'ios': 'edinburghcyclehire://stations/1091'}",55.94955950619123,-3.180413257527789,32
1090,Hillside Crescent,Opposite 34 Hillside Cres Edinburgh EH7 5EF,"{'android': 'edinburghcyclehire://stations/1090', 'ios': 'edinburghcyclehire://stations/1090'}",55.95787194536338,-3.1758883709196652,22
1052,Surgeons Hall,"Nicolson St, Edinburgh EH8 9DW","{'android': 'edinburghcyclehire://stations/1052', 'ios': 'edinburghcyclehire://stations/1052'}",55.94664279961712,-3.1854745859388913,23
1051,Warrender Park Road,"Warrender Park Rd, Edinburgh EH9 1ES","{'android': 'edinburghcyclehire://stations/1051', 'ios': 'edinburghcyclehire://stations/1051'}",55.93836921723555,-3.1980326885466184,15
1050,EICC,"150 Morrison St, Edinburgh EH3 8EE","{'android': 'edinburghcyclehire://stations/1050', 'ios': 'edinburghcyclehire://stations/1050'}",55.94607055533778,-3.2103963310007657,25
1039,Lothian Road,"Lothian Road, Edinburgh, EH1 2EA","{'android': 'edinburghcyclehire://stations/1039', 'ios': 'edinburghcyclehire://stations/1039'}",55.947409199207115,-3.2057654971365537,46
1038,South Trinity Road,"South Trinity Road, Edinburgh, EH5 3NR","{'android': 'edinburghcyclehire://stations/1038', 'ios': 'edinburghcyclehire://stations/1038'}",55.97132539148155,-3.207963567424258,31
