from_station,from_name,from_lat,from_lon,to_station,to_name,to_lat,to_lon,period,flow,distance_km,move_cost
251,Waverley Station,55.952641035774384,-3.187526919462357,1769,Brunswick Place,55.96085174106396,-3.180985762469163,OP,1,0.9996721349748504,0.4998360674874252
258,Stockbridge,55.95856558589723,-3.208070182227744,1720,Dundas Street,55.9607624081837,-3.201278014771333,OP,1,0.48827052246826314,0.24413526123413157
1039,Lothian Road,55.94740919920712,-3.2057654971365537,1050,EICC,55.94607055533778,-3.2103963310007657,PM,3,0.32449338667130767,0.4867400800069615
1039,Lothian Road,55.94740919920712,-3.2057654971365537,1721,Tollcross,55.944248052468346,-3.2031045991104747,PM,2,0.38859514944493173,0.38859514944493173
1052,Surgeons Hall,55.94664279961712,-3.185474585938892,1019,Grassmarket,55.947097278583385,-3.1972457326126005,PM,2,0.7346690744536579,0.7346690744536579
1091,Holyrood Road,55.94955950619123,-3.180413257527789,1798,Chambers Street,55.94760044619224,-3.188919736735216,PM,2,0.5726802252376386,0.5726802252376386
1096,West Crosscauseway,55.9438359841253,-3.1849514084976818,1019,Grassmarket,55.947097278583385,-3.1972457326126005,PM,5,0.8470814144474866,2.1177035361187166
1720,Dundas Street,55.9607624081837,-3.201278014771333,1019,Grassmarket,55.947097278583385,-3.1972457326126005,PM,2,1.5400883579164162,1.5400883579164162
1720,Dundas Street,55.9607624081837,-3.201278014771333,258,Stockbridge,55.95856558589723,-3.208070182227744,PM,2,0.48827052246826314,0.48827052246826314
1726,Simon Square,55.94485886752089,-3.182589723460069,1019,Grassmarket,55.947097278583385,-3.1972457326126005,PM,2,0.9459097498226494,0.9459097498226494
1729,McDonald Road,55.9640310527501,-3.1851753729504253,1019,Grassmarket,55.947097278583385,-3.1972457326126005,PM,1,2.027335121436016,1.013667560718008
1729,McDonald Road,55.9640310527501,-3.1851753729504253,1730,East London Street,55.95995414501485,-3.1871977585476543,PM,3,0.4704824892362722,0.7057237338544083
1753,Waitrose Comely Bank,55.95953624971772,-3.223434402338853,1763,Comely Bank Road,55.95941012836135,-3.2156613606136943,PM,1,0.4840331007963498,0.2420165503981749
1753,Waitrose Comely Bank,55.95953624971772,-3.223434402338853,349,Orchard Brae House,55.95508276879095,-3.2236342639564555,PM,1,0.49536073771670214,0.24768036885835107
